datetime,stock_code,exchange_code,expiry_date,strike_price,option_right,open,high,low,close,volume,open_interest
29-12-2023 12:55,NIFTY,NFO,04-01-2024,22300,CE,10.95,11.05,10.25,10.35,128750,3502250
29-12-2023 13:00,NIFTY,NFO,04-01-2024,22300,CE,10.4,11.1,10.05,11.1,286750,3519800
29-12-2023 13:05,NIFTY,NFO,04-01-2024,22300,CE,11.15,11.7,10.95,11.4,282100,3512050
29-12-2023 13:10,NIFTY,NFO,04-01-2024,22300,CE,11.3,12.1,10.9,12.1,309750,3555450
29-12-2023 13:15,NIFTY,NFO,04-01-2024,22300,CE,12.1,12.2,11.25,11.3,279900,3556550
29-12-2023 13:20,NIFTY,NFO,04-01-2024,22300,CE,11.3,11.55,10.9,11.1,125550,3556650
29-12-2023 13:25,NIFTY,NFO,04-01-2024,22300,CE,11.1,11.3,10.1,10.15,143550,3536300
29-12-2023 13:30,NIFTY,NFO,04-01-2024,22300,CE,9.85,10.75,9.85,10.4,309750,3526550
29-12-2023 13:35,NIFTY,NFO,04-01-2024,22300,CE,10.45,10.65,9.9,9.9,180000,3552400
29-12-2023 13:40,NIFTY,NFO,04-01-2024,22300,CE,9.9,10.65,9.75,10.65,226700,3556650
29-12-2023 13:45,NIFTY,NFO,04-01-2024,22300,CE,10.6,10.85,10,10.35,176300,3566150
29-12-2023 13:50,NIFTY,NFO,04-01-2024,22300,CE,10.35,10.55,10,10.05,109150,3557700
29-12-2023 13:55,NIFTY,NFO,04-01-2024,22300,CE,10.05,10.35,10.05,10.25,53150,3558900
29-12-2023 14:00,NIFTY,NFO,04-01-2024,22300,CE,10.2,10.5,9.95,10.5,139450,3564200
29-12-2023 14:05,NIFTY,NFO,04-01-2024,22300,CE,10.45,10.6,9.55,9.7,192250,3558650
29-12-2023 14:10,NIFTY,NFO,04-01-2024,22300,CE,9.7,9.85,8.6,8.7,610950,3524200
29-12-2023 14:15,NIFTY,NFO,04-01-2024,22300,CE,8.65,9,8.45,8.55,640050,3477000
29-12-2023 14:20,NIFTY,NFO,04-01-2024,22300,CE,8.6,8.9,8.25,8.3,681800,3461000
29-12-2023 14:25,NIFTY,NFO,04-01-2024,22300,CE,8.3,8.85,8.3,8.7,658400,3349400
29-12-2023 14:30,NIFTY,NFO,04-01-2024,22300,CE,8.75,9.6,8.7,9.4,454200,3339350
29-12-2023 14:35,NIFTY,NFO,04-01-2024,22300,CE,9.4,10.75,9.35,9.9,596150,3399400
29-12-2023 14:40,NIFTY,NFO,04-01-2024,22300,CE,9.85,10.05,9.4,9.45,242750,3413950
29-12-2023 14:45,NIFTY,NFO,04-01-2024,22300,CE,9.45,10.4,9.45,10.25,267900,3410800
29-12-2023 14:50,NIFTY,NFO,04-01-2024,22300,CE,10.3,10.9,9.9,10.25,300500,3431400
29-12-2023 14:55,NIFTY,NFO,04-01-2024,22300,CE,10.2,11.65,10.2,11.5,617400,3457400
29-12-2023 15:00,NIFTY,NFO,04-01-2024,22300,CE,11.5,12.85,10.95,11.45,1234350,3426050
29-12-2023 15:05,NIFTY,NFO,04-01-2024,22300,CE,11.45,11.55,10.1,10.4,916500,3311650
